height,fee,numberTXs,nTime,date_str,nonce,nbits,nDifficulty,average_hash_calcualtions,blockhash,targetHash
270,0,1,1231808778,Tue 13 Jan 2009 01:06:18 GMT,3999369255,486604799,1,4295032832,00000000c88cd451d53ba12b50e85e2c1d0381458e22813012bbd571b86f7920,00000000ffff0000000000000000000000000000000000000000000000000000
280,0,1,1231817139,Tue 13 Jan 2009 03:25:39 GMT,1558675205,486604799,1,4295032832,00000000b7686b0bbdcdbbc233c818e60afd3a62564ec7a672836d609b50c718,00000000ffff0000000000000000000000000000000000000000000000000000
290,0,1,1231825046,Tue 13 Jan 2009 05:37:26 GMT,575090998,486604799,1,4295032832,00000000d3e87c5021f142864817c02b5fd52b8f271d26740f1fe629b13b5333,00000000ffff0000000000000000000000000000000000000000000000000000
300,0,1,1231832435,Tue 13 Jan 2009 07:40:35 GMT,951842076,486604799,1,4295032832,0000000062b69e4a2c3312a5782d7798b0711e9ebac065cd5d19f946439f8609,00000000ffff0000000000000000000000000000000000000000000000000000
310,0,1,1231840002,Tue 13 Jan 2009 09:46:42 GMT,3571970348,486604799,1,4295032832,00000000ee59cb43445c8e4533582ef5a1b69be6a23eb496efc1cc6767b994f7,00000000ffff0000000000000000000000000000000000000000000000000000
320,0,1,1231846218,Tue 13 Jan 2009 11:30:18 GMT,43154644,486604799,1,4295032832,000000003f100bcb2790fbf45f69b6825094d75adf5ae9dbf8f4072fe2ff2ea7,00000000ffff0000000000000000000000000000000000000000000000000000
330,0,1,1231853108,Tue 13 Jan 2009 13:25:08 GMT,2621926147,486604799,1,4295032832,00000000931292b665ecaadb744af46f877df2144d240e11e76f16cb1f6531c0,00000000ffff0000000000000000000000000000000000000000000000000000
340,0,1,1231858635,Tue 13 Jan 2009 14:57:15 GMT,4294267944,486604799,1,4295032832,000000005ddf5639bd049b9579d2ff5d1060ed1020a72f927db9c18b106e81b4,00000000ffff0000000000000000000000000000000000000000000000000000
350,0,1,1231865478,Tue 13 Jan 2009 16:51:18 GMT,2183056385,486604799,1,4295032832,00000000e286ad94972e44b0532f2823bcda3977661a5136ff4d9d7db107d944,00000000ffff0000000000000000000000000000000000000000000000000000
360,0,1,1231872582,Tue 13 Jan 2009 18:49:42 GMT,4831612,486604799,1,4295032832,00000000b3de4f2a07df16131eab4f13aa38f9db2d4468ba25a083f8c0cb2cd6,00000000ffff0000000000000000000000000000000000000000000000000000
370,0,1,1231879977,Tue 13 Jan 2009 20:52:57 GMT,2548732199,486604799,1,4295032832,00000000cad69daaae19df9068b0d4bc8d6999c63bd4fb067958bc8881ab7e5c,00000000ffff0000000000000000000000000000000000000000000000000000
380,0,1,1231886972,Tue 13 Jan 2009 22:49:32 GMT,615297076,486604799,1,4295032832,000000005c619c5a51f6bfeea9029520d1e05befb6129795e9cb122efd8f4dc8,00000000ffff0000000000000000000000000000000000000000000000000000
390,0,1,1231895654,Wed 14 Jan 2009 01:14:14 GMT,3115236402,486604799,1,4295032832,00000000cfe2c153bac08324be181717740ababbfc912840a80be7b7ba1970ca,00000000ffff0000000000000000000000000000000000000000000000000000
400,0,1,1231902179,Wed 14 Jan 2009 03:02:59 GMT,2194885122,486604799,1,4295032832,000000002dd9919f0a67590bb7c945cb57270a060ce39e85d8d37536a71928c3,00000000ffff0000000000000000000000000000000000000000000000000000
410,0,1,1231909577,Wed 14 Jan 2009 05:06:17 GMT,4122836022,486604799,1,4295032832,000000009579d1a62c9b365682641a0a6d73fc047b93fc5ab4ea046ccd9877ef,00000000ffff0000000000000000000000000000000000000000000000000000
420,0,1,1231914994,Wed 14 Jan 2009 06:36:34 GMT,3506976020,486604799,1,4295032832,000000006a906fbef861f23ce8ff5fae146675508fa5ec64817db5c81be04019,00000000ffff0000000000000000000000000000000000000000000000000000
430,0,1,1231922852,Wed 14 Jan 2009 08:47:32 GMT,1793756711,486604799,1,4295032832,00000000f57b8d9a6585b22868e8729515a4ce7c466a4b8713317a90fefdcd59,00000000ffff0000000000000000000000000000000000000000000000000000
440,0,1,1231928776,Wed 14 Jan 2009 10:26:16 GMT,2763182121,486604799,1,4295032832,000000004b9dfe906e0c97aaaa3dbb84a933d14788ddef29eb34c4054f884dfd,00000000ffff0000000000000000000000000000000000000000000000000000
450,0,1,1231936030,Wed 14 Jan 2009 12:27:10 GMT,87993685,486604799,1,4295032832,00000000e474895c09bcdaf9261845960b35ea54ed3ecaf60d8a392940f1f3f9,00000000ffff0000000000000000000000000000000000000000000000000000
460,0,1,1231943631,Wed 14 Jan 2009 14:33:51 GMT,1519491111,486604799,1,4295032832,00000000589bea8b8ba6b3c039cc4c10e414c498d4bab561af7b1f92a7181ce4,00000000ffff0000000000000000000000000000000000000000000000000000
470,0,1,1231948637,Wed 14 Jan 2009 15:57:17 GMT,3154583064,486604799,1,4295032832,00000000fd3546b2d219faa87a34e1e6593769d753cf86fc647c4ee2a07710d1,00000000ffff0000000000000000000000000000000000000000000000000000
480,0,1,1231955305,Wed 14 Jan 2009 17:48:25 GMT,2329771544,486604799,1,4295032832,00000000ee9b6376dab707bb146c445aedab4fc6518abf995acdb74ffb4be7ac,00000000ffff0000000000000000000000000000000000000000000000000000
